Title,Reference No,OCID,Published by,Publication Date,Deadline Date,Deadline Time,Notice Type,Has Documents,Has ESPD,Abstract,Description of the procurement,Award criteria,Additional CPV code(s),Place of performance,Duration of the contract,Variants,Options,EU funds,Estimated date of publication of contract notice,Additional information,Date of dispatch of this notice,Information about Government Procurement Agreement (GPA)
RSPB Forsinard Flows Regenerating Conifer Removal,MAY505063,ocds-r6ebe6-0000765682,RSPB Scotland,10/05/2024,17/06/2024,09:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Cutting and removal of regenerating non-native conifers on a restored peatland site.CPV: 45111220, 45111220.",Cutting and removal of non-native regenerating conifers on a restored peatland site.,Price is not the only award criterion and all criteria are stated only in the procurement documents,45111220,"NUTS code:
UKM61

Main site or place of performance:
RSPB Forsinard Flows","Start:
                02/09/2024
End:
                31/12/2024
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=765682.,10/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
"Framework agreement for marine survey, analysis & interpretation",MAY504737,ocds-r6ebe6-0000737388,Scottish Natural Heritage,07/05/2024,10/06/2024,09:30,02 Contract Notice,Yes,Yes,"NatureScot wish to establish a Framework Agreement for Marine Survey, Analysis and Interpretation to Support Nature Conservation. Full details are in the attached Statement of Requirements.CPV: 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500, 71354500.","Scottish Natural Heritage (NatureScot) wish to establish a Framework Agreement for Marine Survey, Analysis and Interpretation to Support Nature Conservation. Full details are in the attached Statement of Requirements.","Criteria below:
Quality criterion: Quality
                    / Weighting: 70
Price
                    
                      / Weighting: 
                      30",71354500,"NUTS code:
UKM","Duration in months: 24
This contract is subject to renewal: Yes
Description of renewals:
Option to extend by up to 24 months.","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,Please refer to the Statement of Requirements attached to this Notice for full details of each Lot. Please allow sufficient time to upload your documents to the PCS portal prior to the stated deadline and remember to include a completed SPD (also attached to this Notice).,07/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Service and Maintenance of Fire Extinguishing Services,APR503978,ocds-r6ebe6-0000764761,Dundee City Council,26/04/2024,27/05/2024,12:00,02 Contract Notice,Yes,Yes,"Dundee City Council are looking for a single supplier to service an maintain fire fighting extinguishing equipment across its portfolio of buildings.CPV: 50413200, 50413200.","The works shall comprise the Inspection, Testing, Certification, written reporting and subsequent servicing and maintenance of the Fire Extinguishing equipment and Gas Suppression Systems within various Dundee City Council properties, along with minor and urgent repair works which may have not been foreseen (e.g.: arising from discharge or damage)","Criteria below:
Quality criterion: Resourcing of Requirement – Contract Resourcing
                    / Weighting: 15
Quality criterion: Resourcing of Requirement – Development
                    / Weighting: 5
Quality criterion: Resourcing of Requirements – Timescales
                    / Weighting: 8
Quality criterion: Resourcing of Requirements – Disruption
                    / Weighting: 5
Quality criterion: Resourcing of Requirements – Emergency Call OutResourcing of Requirements – Emergency Call Out
                    / Weighting: 10
Quality criterion: Resourcing of Requirements – Programme of Works
                    / Weighting: 5
Quality criterion: Continuous Improvement
                    / Weighting: 9
Quality criterion: Community Benefits
                    / Weighting: 1.5
Quality criterion: Fair Work Practices
                    / Weighting: 1.5
Price
                    
                      / Weighting: 
                      40",50413200,"NUTS code:
UKM71

Main site or place of performance:
Buildings across Dundee City.","Duration in months: 36
This contract is subject to renewal: Yes
Description of renewals:
there is an option to extend for 2 years, then a further 2 years thereafter","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,Award Criteria as follows:,26/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Internal Wall Insulation to Council Housing - Buchan 001,MAY505937,ocds-r6ebe6-0000767510,Aberdeenshire Council,24/05/2024,19/06/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Aberdeenshire Council require competitive tenders of suitably qualified contractors to complete the installation of Internal Wall and floor Insulation, to make the building air tight, Rewire, replacement windows, installation of quantum heating, kitchen and bathroom installation and associated decoration of five void properties in the Buchan area.CPV: 45000000, 45000000.","Aberdeenshire Council require competitive tenders of suitably qualified contractors to complete the installation of Internal Wall and floor Insulation, to make the buildings airtight, Rewire, replacement windows, installation of quantum heating, kitchen and bathroom installation and associated decoration of five void properties in the Buchan area.","Criteria below:
Quality criterion: Project Delivery and Methodology
                    / Weighting: 30
Quality criterion: Design Team management proposal
                    / Weighting: 30
Quality criterion: Health and Safety track record
                    / Weighting: 20
Quality criterion: Environment
                    / Weighting: 10
Quality criterion: Community Benefits
                    / Weighting: 10
Price
                    
                      / Weighting: 
                      80",45000000,"NUTS code:
UKM50","Duration in months: 6
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=767510.,24/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
A9 Dualling: Tay Crossing to Ballinluig,APR503169,ocds-r6ebe6-0000762809,Transport Scotland,16/04/2024,,,01 Prior Information Notice (PIN),Yes,No,"The Scope involves the design, construction, completion and maintenance of the proposed A9 Dualling: Tay Crossing to Ballinluig project. The project forms part of the overall A9 dualling programme, which aims to improve the operational performance of the A9, improve safety for motorised and non-motorised users, facilitate active travel within the corridor, and improve integration with Public Transport Facilities. The objectives are to be met whilst avoiding and/or reducing environmental impacts, enhancing the environment and improving sustainability where possible.The project will upgrade approximately 5 miles (8.2km) of existing single carriageway, commencing just north of the Jubilee Bridge over the river Tay and ending at the southern end of the existing dual carriageway south of Ballinluig Junction. This section of the A9 is located within close proximity to a number of designated environmental sites, including watercourses forming part of the River Tay special area of conservation which are crossed by the existing A9.In particular, the project involves, but is not limited to:-	Widening of  existing A9 single carriageway to Dual 2 lane All-purpose roads Sub-category c (D2APc) standard, in accordance with ‘CD 109 Highway Link Design’ within the UK Design Manual for Roads and Bridge-	Construction of seven left-in left-out junctions-	Construction of a roundabout-	Upgrade to side roads including resurfacing or realignment and other improvements-	Construction of access roads to rural properties-	Provision of one new overbridge structure (Guay South Overbridge) and one new underbridge structure (Kindallachan Underbridge).-	Replacement and/or upgrade to a number of existing structures including culverts and Sustainable Drainage Systems (SuDS) developed in consultation with Scottish Environment Protection Agency (SEPA).-	Provision of traffic management, earthworks, road restraint systems, accommodation works, service diversions, fencing, signage, landscaping and environmental mitigation.CPV: 45233100, 45111000, 45221220, 45221111, 45233120, 45233124, 45233125, 45233161, 45233162, 45233224, 45233226, 45233290, 45262640, 45233222, 45112000, 45112730, 45233128, 45233280, 45246200, 45316210, 45454100.","Transport Scotland is an agency of the Scottish Government and contracts in the name of and on behalf of the Scottish Ministers. Transport Scotland has identified the requirement to appoint a suitably experienced Contractor to design and build a new dual carriageway between just north of the Jubilee Bridge over the river Tay and the southern end of the existing dual carriageway south of Ballinluig Junction.
Transport Scotland will conduct the proposed procurement process on behalf of the Scottish Ministers in accordance with the Public Contract (Scotland) Regulations 2015. In the event of a contract award, the contract will be entered into between the Scottish Ministers and the successful tenderer. The contract will include a 260 week period of maintenance after completion of the main works and a 260 week period of landscape establishment following completion of landscape planting.  The successful tenderer will not be required to carry out cyclic maintenance, which shall be carried out by a third party appointed by the Scottish Ministers. In the event of a contract award, the appointed contractor and the applicable subcontractors shall be required to enter into a Project Bank Account Trust Agreement. The Project Bank Account will be used by Transport Scotland to make payments. Further guidance can be obtained via the following link: http://www.gov.scot/Topics/Government/Procurement/policy/ReviewProcConst/projectbankaccounts
In line with the National Transport Strategy in Scotland, the project aims to build a lasting legacy and encourage economic growth by offering a significant opportunity to improve the social, environmental and economic wellbeing of the area in which it operates, with a particular focus on reducing inequality. The appointed Contractor will be required to deliver Community Benefits in support of the authority’s economic, social and environmental objectives. The project aims to facilitate the involvement of Small and Medium sized Enterprises (SMEs), third sector bodies and supported businesses, as well as offering employment and training opportunities, and promoting innovation in line with our sustainable procurement duty under the Procurement Reform (Scotland) Act 2014. The project will encourage good quality and fair work and a Contractors approach to fair work practices will be assessed as part of this procurement and monitored under the contract.",,"45111000
45221220
45221111
45233120
45233124
45233125
45233161
45233162
45233224
45233226
45233290
45262640
45233222
45112000
45112730
45233128
45233280
45246200
45316210
45454100","NUTS code:
UKM77

Main site or place of performance:
A9 trunk road north of the Jubilee Bridge over the river Tay and the southern end of the existing dual carriageway south of Ballinluig Junction in central Scotland.",,,,,17/05/2024,"Transport Scotland will contact interested contractors to participate in pre-procurement market consultation questionnaire at the end of April, ahead of the procurement exercise commencing.",16/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
P25-0003 Diversity in Investment Support,APR502282,ocds-r6ebe6-0000762731,Scottish Enterprise,03/04/2024,17/04/2024,11:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"The purpose of this ITQ is to appoint a single supplier to deliver provide support and consultation in respect of Diversity, Equity and Inclusion around best practice in the early-stage investment market, as set out below, to Scottish Enterprise.CPV: 79412000, 79412000, 66170000, 66100000, 66120000.","Scottish Enterprise wants to ensure it is an investor who has, or is aiming to have, market leading investment policies and processes for Diversity, Equity and Inclusion (DE&I).
The purpose of the project is to provide an industry recognised accreditation in respect of Diversity, Equity and Inclusion in the early-stage investment market with support and consultation to be provided as we work towards the accreditation.
The timescale for this support commencing is important due to linkages to other existing ongoing projects that Scottish Enterprise is currently undertaking","Criteria below:
Quality criterion: Project Team structure
                    / Weighting: 20
Quality criterion: Previous relevant experience
                    / Weighting: 35
Quality criterion: Methodology and proposed approach
                    / Weighting: 45
Price
                    
                      / Weighting: 
                      40","79412000
66170000
66100000
66120000","NUTS code:
UKM","Start:
                19/04/2024
End:
                22/04/2025
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,"To note, Scottish Enterprise would normally publish Invitations to Quote for under 50,000GBP services via the Quick Quote facility on Public Contracts Scotland to a minimum of 3 bidders. This opportunity is being advertised via the ‘Open’ procurement process as we are unaware of suppliers in the market that are able to provide the requirements.",03/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Identify and assess improvements to energy standards for new non-domestic buildings within Scottish building regulations,APR502797,ocds-r6ebe6-0000763212,Scottish Government,10/04/2024,30/04/2024,10:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"This project will assess and identify the potential for further improvement in energy performance for new non-domestic buildings set via standard 6.1 (Energy demand) and supporting guidance within the Scottish Government’s Building Standards Technical Handbooks. This includes an increased focus on practical opportunities to limit delivered energy through both demand reduction and offsetting of demand.  Relative to the energy profile of individual building types, specific consideration will be given to the ‘fabric first’ approach to delivery and other practice inherent in the cited Passivhaus standard.CPV: 73000000, 73000000.","This project will assess and identify the potential for further improvement in energy performance for new non-domestic buildings set via standard 6.1 (Energy demand) and supporting guidance within the Scottish Government’s Building Standards Technical Handbooks. This includes an increased focus on practical opportunities to limit delivered energy through both demand reduction and offsetting of demand.  Relative to the energy profile of individual building types, specific consideration will be given to the ‘fabric first’ approach to delivery and other practice inherent in the cited Passivhaus standard.","Criteria below:
Quality criterion: Quality
                    / Weighting: 80
Price
                    
                      / Weighting: 
                      20",73000000,"NUTS code:
UK","Duration in months: 9
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763212.,10/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Gourlaw Farmhouse - Energy Efficiency Works,APR503885,ocds-r6ebe6-0000764861,Crown Estate Scotland,25/04/2024,07/06/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Improvement to the thermal envelope and installation of PV, battery storage, ASHP and EV charging point.CPV: 45453100, 45453100.","Residential property energy improvements works including renewal of improvement of the thermal envelop, ASHP heating system, New PV installation, new insulation, joinery and decoration works.","Criteria below:
Quality criterion: Quality
                    / Weighting: 40
Price
                    
                      / Weighting: 
                      60",45453100,"NUTS code:
UKM73

Main site or place of performance:
Gourlaw Farmhouse, Rosewell, EH24 9DU.","Duration in months: 4
This contract is subject to renewal: Yes
Description of renewals:
Extension available if legitimate need / reason.","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764861.,25/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Whole Life Carbon Assessments,APR503186,ocds-r6ebe6-0000763809,Energy Transition Zone Limited,16/04/2024,07/05/2024,17:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,ETZ Ltd is looking to appoint a suitably qualified consultancy under a framework contract  to provide whole life carbon assessments and supporting advisory services on an as required basis.  The initial duration of the contract would be 2 years.  There are a number of scenarios for which whole life carbon assessments might be required.CPV: 71313400.,"The successful consultant is required to provide support as necessary to assist ETZ Ltd in the use of whole life carbon assessments as a metric to inform design decisions in relation to all development work that they are involved in within the Energy Transition Zone.
The tenderer is required to provide a fixed cost for:
- Initial whole life carbon assessment per building typically RIBA stage 2 but could be later stages
- Follow on whole life carbon assessments typically RIBA stages 4 and 6 (this assumes an earlier assessment has been undertaken)
- Initial operational energy assessment per building RIBA stage 2
- Follow on operational energy assessments RIBA stage 4 and 6 (this assumes an earlier assessment has been undertaken)
- Embodied carbon assessment for a refurb compared to an equivalent new build per building.","Criteria below:
Quality criterion: Suitability and examples of relevant experience
                    / Weighting: 15
Quality criterion: Proposed Approach
                    / Weighting: 10
Quality criterion: Staff Experience
                    / Weighting: 15
Quality criterion: Compliance with Sustainable Criteria
                    / Weighting: 10
Price
                    
                      / Weighting: 
                      50",,"NUTS code:
UKM50","Duration in months: 24
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763809.,16/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Maryhill Housing Association - Void Repairs 2024 - 2029,APR504141,ocds-r6ebe6-0000764991,Maryhill Housing Association Ltd,29/04/2024,29/05/2024,17:00,02 Contract Notice,Yes,Yes,"Multi-trade void property repair contractCPV: 50000000, 45441000, 50711000, 45421000, 39715000, 45330000, 45332000, 45261900, 45410000, 31625000, 45451000.","The contract is for a void property repairs service to properties owned by Maryhill Housing Association Ltd (MHA). The service is to be provided at various sites within MHA’s geographic area.
The Contract will initially run for a period of 3 years with the option for renewal, at the sole discretion of MHA, for an extension of two further periods of one year each, subject to satisfactory reviews based upon performance and quality of service and delivery. The maximum duration of the contract is therefore 5 years.
MHA currently owns and manages approximately 3000 domestic properties in various locations in the West of Glasgow. These numbers may increase in line with MHA's development programme during the life of the contract.
The services required by this contract, can include but are not restricted to the general void property maintenance and repair to MHA’s properties. The works will involve multiple trades and it is intended that all voids property repairs will be placed with the successful contractor during the period of the contract. Planned maintenance works and DDA adaptions are excluded from the scope of the service
provision. In addition, the following works are not included in the scope of the contract and will be carried out by specialist contractors:
Door entry systems
Gas heating maintenance and repair
The successful contractor will be expected to work with and support these specialist contractors when necessary.
The successful contractor will be required to ensure that their organisational structure, labour and plant resources enable them to perform the contract, including meeting the minimum target response times undertaking the works and allowing the void property to be re-let by MHA.","Criteria below:
Quality criterion: Quality
                    / Weighting: 60
Price
                    
                      / Weighting: 
                      40","45441000
50711000
45421000
39715000
45330000
45332000
45261900
45410000
31625000
45451000","NUTS code:
UKM82

Main site or place of performance:
Glasgow","Duration in months: 36
This contract is subject to renewal: Yes
Description of renewals:
The buyer may, entirely at their discretion, extend the contract by two further periods of one year.","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site.,29/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Supply Chain Mechanism for Carbon Capture and Storage on the Seabed,APR503954,ocds-r6ebe6-0000764610,Crown Estate Scotland,26/04/2024,28/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"This Invitation to Tender (""ITT"") initiates a call to appoint a consultancy to provide advice to Crown Estate Scotland (“CES”) on a supply chain requirement to be incorporated to seabed agreements for Carbon Capture and Storage (“CCS”). This work will be delivered by a written report, preceded by a workshop during which the findings will be presented. Three deliverables will be achieved in these estimated timescales:(1) Draft report: 8 weeks after kick-off meeting(2) Report presented to CES: 2 weeks after (1)(3) Final Report: 2 week after (2)CPV: 71310000, 71310000.","Background
CES is responsible for leasing carbon dioxide storage areas of seabed in Scottish waters within the Gas Storage and Importation Zone.
The North Sea Transition Authority (“NSTA”) are the regulator of licences for offshore carbon dioxide (“CO2”) appraisal and storage licences in UK waters (excluding projects that are wholly within Scottish Territorial Waters (which is 12nm from the shoreline in Scotland)).
NSTA administered their first carbon storage licensing round in 2023, resulting in licences being offered for six areas in Scottish waters. In alignment with the Energy Act 2008, the licence holders are required to obtain seabed agreements from CES.
https://www.nstauthority.co.uk/regulatory-information/licensing-and-consents/carbon-storage/
Those licence holders who meet CES’ criteria will be granted exclusive CCS development rights over their proposed storage site. These rights will be provided by an Exclusivity Agreement (or similar) and will allow licence holders to appraise their sites and ultimately apply to NSTA for a Storage Permit.
Once a site has been fully appraised, Storage Permit secured, and any other conditions included in the Exclusivity Agreement have been met, a Lease may be awarded for construction and operation of a CCS project. Under a Lease, rent is due to be paid to CES. CES’ revenues are paid to the Scottish Government.
CCS will be needed for Scotland to meet its climate targets and CES is committed to enabling the growth of the CCS sector in a sustainable manner, stimulating the local supply chain and supporting the Just Transition.
Objective of the Tender
CES is seeking to appoint a consultancy to evaluate the applicability of the Supply Chain Development Statement (“SCDS”)previously applied in offshore wind leasing, for the CCS sector. Additionally, a supply chain mechanism alternative to SCDS shall be proposed and evaluated by the consultant.
Specification – Scope of Work
CES’ interests are focused on the transport and storage elements of offshore CCS projects. Rent will be payable to CES for pipelines and for the seabed area under Lease, beyond 12 nautical miles from shore. To assist potential bidders in preparing their response to this ITT, an example transport and storage shall be modelled:","Criteria below:
Quality criterion: Quality
                    / Weighting: 70
Price
                    
                      / Weighting: 
                      30",71310000,"NUTS code:
UKM

Main site or place of performance:
Around the coastline of Scotland","Duration in months: 3
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764610.,26/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Gracemount Medical Practice,APR503542,ocds-r6ebe6-0000764400,Lothian Health Board,22/04/2024,22/05/2024,12:00,02 Contract Notice,Yes,No,"Lothian Health Board (more commonly known as NHS Lothian) (“NHS Lothian”) placed an advertisement on the Public Contracts Scotland website for a Route 3 Procurement on 22 April 2024 seeking expressions of interest from any parties interested in providing primary medical services to patients in the Edinburgh area.This requirement has arisen due to the desire to return the contract to an independent contractor to provide primary medical services located at Gracemount Medical Practice in Gracemount Health Centre, 24 Gracemount Drive, Edinburgh, EH16 6RN to a list of 8,532 patients.  NHS Lothian wishes to select a new service provider with the capacity and capability to meet the needs of these patients and to grow the practice list by delivering high quality, patient-centred clinical services in a primary care setting, all in accordance with NHS Lothian’s requirements set out in Appendix 1 (“Requirement”).  The services will build on existing best practice and focus on a community and health and social care approach.  The clinical services will be delivered in an environment that provides patient care of a standard consistent with that of similar services provided elsewhere within NHS Lothian.It will be important that Applicants involved in the planning and/or delivery of existing schemes and services can demonstrate that they have sufficient capacity so as not to prejudice delivery of primary medical services under any other contract an Applicant may have with NHS Lothian or pre-existing schemes or the ability of NHS Lothian itself to deliver services.The successful Applicant will be required to enter into a contract with NHS Lothian on the terms of the General Medical Services Contract (“GMS Contract”) the form of which is prescribed by The National Health Service (General Medical Services Contracts) (Scotland) Regulations 2018, as amended, or replaced from time to time.  Performance by the successful Applicant under the terms of the GMS Contract will be subject to these Regulations available at www.legislation.gov.uk/ssi/2018/66/contentsCPV: 85121000, 85121000.","Lothian Health Board (more commonly known as NHS Lothian) (“NHS Lothian”) placed an advertisement on the Public Contracts Scotland website for a Route 3 Procurement on 22 April 2024 seeking expressions of interest from any parties interested in providing primary medical services to patients in the Edinburgh area.
This requirement has arisen due to the desire to return the contract to an independent contractor to provide primary medical services located at Gracemount Medical Practice in Gracemount Health Centre, 24 Gracemount Drive, Edinburgh, EH16 6RN to a list of 8,532 patients.  NHS Lothian wishes to select a new service provider with the capacity and capability to meet the needs of these patients and to grow the practice list by delivering high quality, patient-centred clinical services in a primary care setting, all in accordance with NHS Lothian’s requirements set out in Appendix 1 (“Requirement”).  The services will build on existing best practice and focus on a community and health and social care approach.  The clinical services will be delivered in an environment that provides patient care of a standard consistent with that of similar services provided elsewhere within NHS Lothian.
It will be important that Applicants involved in the planning and/or delivery of existing schemes and services can demonstrate that they have sufficient capacity so as not to prejudice delivery of primary medical services under any other contract an Applicant may have with NHS Lothian or pre-existing schemes or the ability of NHS Lothian itself to deliver services.
The successful Applicant will be required to enter into a contract with NHS Lothian on the terms of the General Medical Services Contract (“GMS Contract”) the form of which is prescribed by The National Health Service (General Medical Services Contracts) (Scotland) Regulations 2018, as amended, or replaced from time to time.  Performance by the successful Applicant under the terms of the GMS Contract will be subject to these Regulations available at www.legislation.gov.uk/ssi/2018/66/contents",Price is not the only award criterion and all criteria are stated only in the procurement documents,85121000,"NUTS code:
UKM75

Main site or place of performance:
Gracemount Medical Practice
Gracemount Health Centre
24 Gracemount Drive
Edinburgh
EH16 6RN","Duration in months: 60
This contract is subject to renewal: Yes
Description of renewals:
The commencement date for the contract will be agreed between the succesful bidder and Lothian Health Board (but is expected to be
September 2024). There is no fixed term applicable to the awarded contract. The contract duration of 60 months used in this notice is for
illustrative purposes only","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at,22/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Re-Roofing Works to 7 Dwellings - Whalsay, Fetlar and Unst, Shetland",MAY505331,ocds-r6ebe6-0000766185,Shetland Islands Council,15/05/2024,24/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"Shetland Islands Council propose to carryout re-roofing works to 7 dwellings in Whalsay, Fetlar and Unst, Shetland.The works will be split into 3 contracts as follows: -Contract 1 – No’s 24 & 34 Gardentown, WhalsayContract 2 – No’s 12 & 16 Springbank Road, Baltasound, UnstContract 3 – No’s 1, 2 & 3 Stakkafletts, FetlarCPV: 45261211, 45211100, 45211100, 45211100.","The type of contracts to be awarded is Works contracts.
The procedure being followed is a Restricted Procedure.",Price is not the only award criterion and all criteria are stated only in the procurement documents,45211100,"NUTS code:
UKM66

Main site or place of performance:
Whalsay, Shetland Islands and as required by the Contracting Authority.","Duration in months: 2
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,The contract shall be subject to Scots law and the jurisdiction of the Scottish Courts.,15/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Alteration Works to Form Shower Facilities for Ayrshire College,MAY504465,ocds-r6ebe6-0000765574,Ayrshire College,02/05/2024,28/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"Ayrshire College is seeking a company to carry out alteration works in its main building on its Kilwinning Campus, to form shower facilities in existing toilets. The works would take place in July 2024.CPV: 45262700, 45262700.","Ayrshire College is seeking a company to carry out alteration works in its main campus building, Kilwinning, to form shower facilities
The work  needs to be carried out during July 2024.",Price is not the only award criterion and all criteria are stated only in the procurement documents,45262700,"NUTS code:
UKM94

Main site or place of performance:
Ayrshire College Lauchlan Way, Kilwinning KA13 6DE.","Duration in months: 1
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=765574.,02/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Lochgilphead Front Green to Crinan Canal Places for Everyone Stages 3 & 4 Active Travel Design Consultancy Services,APR503283,ocds-r6ebe6-0000764097,Argyll and Bute Council,17/04/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"The Council requires to tender for competent consultants who can deliver the designs required for the Lochgilphead to Crinan Canal Active Travel Design Consultancy Services (Stages 3 and 4) including significant community engagement, placemaking, behaviour change and associated supporting documents in line with the requirements set by the external funding sources.CPV: 79415200, 71311000, 71530000, 79415200.","The Council requires to tender for competent consultants who can deliver the designs required for the Lochgilphead to Crinan Canal Active Travel Design Consultancy Services (Stages 3 and 4) including significant community engagement, placemaking, behaviour change and associated supporting documents in line with the requirements set by the external funding sources.",,"71311000
71530000
79415200","NUTS code:
UKM63

Main site or place of performance:
Lochgilphead",,,,,31/05/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764097.,17/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Evaluation Planning Support for Archaeology – Unearthing a Better Future,APR502892,ocds-r6ebe6-0000763497,Archaeology Scotland,11/04/2024,26/04/2024,17:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Archaeology Scotland wishes to commission an evaluation consultant for the Archaeology – Unearthing a Better Future project.  It is a NLHF supported project and designed to build greater resilience for Archaeology Scotland, our membership and the wider heritage sector through several organisational improvements and business planning processes, together which will support development of increased public benefit through the work we can deliver together.CPV: 79000000, 92000000.","The awardee will work with the Archaeology Scotland team to rapidly review our current evaluation methods and those necessary for future projects and programmes, as relating to:
Existing delivery including Adopt-A-Monument programme, Archaeological Learning Programme, New Audiences project and wider audience development processes, including at events such as Scottish Archaeology Month.
Business Development for two new programmes relating to Skills and Employability and Health and Wellbeing services.
Development of a Participatory Archaeology Framework as part of our role as lead on Aim 4 Encouraging Greater Engagement for Scotland’s Archaeology Strategy.",Price is not the only award criterion and all criteria are stated only in the procurement documents,92000000,"NUTS code:
UKM73","Duration in months: 8
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763497.,11/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
